batter,team,role,"Test 1, Innings 1","Test 1, Innings 2","Test 2, Innings 1","Test 2, Innings 2","Test 3, Innings 1","Test 3, Innings 2","Test 4, Innings 1","Test 4, Innings 2","Test 5, Innings 1","Test 5, Innings 2"
Ali,England,allrounder,"Batting at number 6, scored 38 runs from 102 balls including 2 fours and 1 sixes.","Batting at number 6, scored 40 runs from 64 balls including 6 fours and 0 sixes.","Batting at number 6, scored 25 runs from 57 balls including 2 fours and 0 sixes.","Batting at number 7, scored 2 runs from 20 balls including 0 fours and 0 sixes.","Batting at number 7, scored 0 runs from 2 balls including 0 fours and 0 sixes.","Batting at number 7, scored 11 runs from 56 balls including 2 fours and 0 sixes.","Batting at number 7, scored 20 runs from 14 balls including 2 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 7, scored 30 runs from 58 balls including 2 fours and 0 sixes.","Batting at number 7, scored 13 runs from 43 balls including 1 fours and 0 sixes."
Anderson,English,bowl,"Batting at number 11, scored 5 runs from 9 balls including 1 fours and 0 sixes.","Batting at number 11, scored 0 runs from 1 balls including 0 fours and 0 sixes.","Batting at number 11, scored 0 runs from 3 balls including 0 fours and 0 sixes.","Batting at number 11, scored 0 runs from 0 balls including 0 fours and 0 sixes.","Batting at number 11, scored 0 runs from 7 balls including 0 fours and 0 sixes.","Batting at number 11, scored 1 runs from 7 balls including 0 fours and 0 sixes.","Batting at number 11, scored 0 runs from 16 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 11, scored 0 runs from 3 balls including 0 fours and 0 sixes.","Batting at number 11, scored 2 runs from 23 balls including 0 fours and 0 sixes."
Bairstow,England,wicketkeeper,"Batting at number 7, scored 9 runs from 24 balls including 1 fours and 0 sixes.","Batting at number 7, scored 42 runs from 75 balls including 2 fours and 1 sixes.","Batting at number 7, scored 21 runs from 50 balls including 2 fours and 0 sixes.","Batting at number 8, scored 36 runs from 57 balls including 5 fours and 0 sixes.","Batting at number 6, scored 119 runs from 215 balls including 18 fours and 0 sixes.","Batting at number 6, scored 14 runs from 26 balls including 3 fours and 0 sixes.","Batting at number 6, scored 22 runs from 39 balls including 3 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 6, scored 5 runs from 7 balls including 1 fours and 0 sixes.","Batting at number 6, scored 38 runs from 143 balls including 4 fours and 0 sixes."
Ball,England,bowl,"Batting at number 10, scored 14 runs from 11 balls including 3 fours and 0 sixes.","Batting at number 10, scored 1 runs from 5 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Bancroft,Australia,bat,"Batting at number 1, scored 5 runs from 19 balls including 0 fours and 0 sixes.","Batting at number 1, scored 82 runs from 182 balls including 10 fours and 1 sixes.","Batting at number 1, scored 10 runs from 41 balls including 0 fours and 0 sixes.","Batting at number 1, scored 4 runs from 8 balls including 1 fours and 0 sixes.","Batting at number 1, scored 25 runs from 55 balls including 3 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 1, scored 26 runs from 95 balls including 2 fours and 0 sixes.","Batting at number 1, scored 27 runs from 42 balls including 4 fours and 0 sixes.","Batting at number 1, scored 0 runs from 7 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Bird,Australia,bowl,"Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 4 runs from 6 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Broad,England,bowler,"Batting at number 9, scored 20 runs from 32 balls including 3 fours and 0 sixes.","Batting at number 9, scored 2 runs from 9 balls including 0 fours and 0 sixes.","Batting at number 10, scored 3 runs from 17 balls including 0 fours and 0 sixes.","Batting at number 10, scored 8 runs from 12 balls including 0 fours and 0 sixes.","Batting at number 10, scored 12 runs from 10 balls including 0 fours and 1 sixes.","Batting at number 10, scored 0 runs from 2 balls including 0 fours and 0 sixes.","Batting at number 10, scored 56 runs from 63 balls including 8 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 31 runs from 32 balls including 1 fours and 2 sixes.","Batting at number 9, scored 4 runs from 2 balls including 1 fours and 0 sixes."
Cook,England,bat,"Batting at number 1, scored 2 runs from 10 balls including 0 fours and 0 sixes.","Batting at number 1, scored 7 runs from 13 balls including 1 fours and 0 sixes.","Batting at number 1, scored 37 runs from 90 balls including 3 fours and 0 sixes.","Batting at number 1, scored 16 runs from 66 balls including 2 fours and 0 sixes.","Batting at number 1, scored 7 runs from 16 balls including 1 fours and 0 sixes.","Batting at number 1, scored 14 runs from 20 balls including 2 fours and 0 sixes.","Batting at number 1, scored 244 runs from 409 balls including 27 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 1, scored 39 runs from 104 balls including 3 fours and 0 sixes.","Batting at number 1, scored 10 runs from 20 balls including 0 fours and 0 sixes."
Crane,England,bowl,"Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 10, scored 4 runs from 7 balls including 0 fours and 0 sixes.","Batting at number 10, scored 2 runs from 4 balls including 0 fours and 0 sixes."
Cummins,Australia,bowl,"Batting at number 9, scored 42 runs from 120 balls including 5 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 44 runs from 90 balls including 7 fours and 0 sixes.","Batting at number 10, scored 11 runs from 28 balls including 0 fours and 0 sixes.","Batting at number 9, scored 41 runs from 63 balls including 4 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 8, scored 4 runs from 18 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 24 runs from 16 balls including 4 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
